Goal,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7
positive,smiley face emoji,thumbs up icon,happy family photo,sunny day scene,success symbol,,
possess,Ownership certificate,Legal document,Lock and key,Contract,Symbolic representation like a chain around neck,binoculars,
possession,Ghost,Poltergeist,Haunted House,Ouija Board,Voodoo doll,,
postponement,Clock,Calander,Delayed flight,Traffic jam,Closed for repair sign,,
posture,Sitting position,Standing position,Yoga Pose,Dance Moves,Exercise Movements,,
potential,Lightning bolt,Magnifying glass,Seedling sprouting from soil,Arrow pointing upwards,DNA double,,
poverty,Empty wallet,cardboard box,homeless person,soup kitchen,food pantry,,
power,crown,throne,scepter,castle,sword,,
practice,Music notes,dance floor,training equipment,yoga mat,sports field,,
prayer,Hands folded,Cross necklace,Mosque,Church,Bible,,
precision,Clock,Measuring tape,Ruler,Caliper,Scientific equipment,,
prehistory,cave paintings,fossils,Stonehenge,mammoths,cavemen,,
premonition,Psychic vision,Tarot card,Crystal ball,Dream sequence,Supernatural power,,
preparation,Checklist,notebook,pen,calculator,alarm clock,,
presence,Light bulb turned on,smiley face emoji,heart symbol,thumbs up icon,waving hand gesture,,
preserve,Fruit jars,Glass jars filled with jam or jelly,Sealed containers,Mason jars,Preserved,,
prestige,gold medal,red carpet,statue of Oscar,Rolls-Royce car,diamond ring,,
prevention,Vaccine needle,Safety helmet,First aid kit,Road signs,Security camera,,
pride,rainbow flag,parade float,drag queen,trans activist,LGBT couple,,
priesthood,Priest collar,Bible,Church building,Altar,Confessional booth,,
primitive,Cave painting,Stone Tools,Fire Pit,Hunter Gatherer Culture,Shamanism,,
principality,Crown,Royal Throne,Castle,Coat of Arms,Map,,
principle,Justice scale,Law Book,Constitution Document,Judge gavel,Statue of liberty,,
principles,Scales,judge gavel,contract document,handshake,key,,
privacy,Closed door,curtain,Keyhole,Lock,password protected computer screen,,
private,Private Room,Private Conversation,Confidential Documents,Secret Agent,Locked Door,,
privilege,Fancy clothes,Luxury cars,expensive jewelry,Private jet,mansion,,
probability,Die,Roulette wheel,Card deck,Stock market graph,Coin flip,,
probable,Dice,Roulette wheel,Coin flip,Percentage symbol,Random number generator,,
problem,Confusion,Rubik cube,Maze,Puzzle pieces,Question mark,,
proceedings,Formal meeting,discussion table,agenda document,participants around a table,microphones,,
producer,Movie clapperboard,film reel,microphone,studio lights,Director’s chair,flood,
production,factory,assembly line,machinery,raw materials,finished products,,
productivity,computer screen,notebook,cup of coffee,stack of papers,calendar schedule,,
profession,Doctor,Lawyer,Engineer,Teacher,Accountant,,
professional,Suit and tie,briefcase,office building,contract papers,meeting room,,
professionalization,Office desk,Computer,Meeting room,Documents,Business suit,,
professor,Book,Lecture Hall,Research Paper,Classroom,Graduation Cap,,
progress,Chart showing upward trend,Person climbing ladder,Sun rising over horizon,Arrow pointing forward,Clock hands,,
prominence,Stage,spotlight,microphone,audience,applause,,
promotion,New job title,Salary increase,Congratulations card,Business suit,CEO shaking hands,,
propensity,Statistics chart,Dice roll outcome,Probability formula,Coin toss result,Percentage symbol,,
proposal,Ring,Marriage certificate,Wedding invitation,Bride and groom holding hands,Heart shaped balloon,,
prospect,map,compass,tent,hiking boots,backpack,,
prosperity,Money bags,luxury cars,mansions,gold coins,expensive clothes,,
protection,Helmet,Life vest,Fire extinguisher,Lock,Shield,,
protest,Signs held up high,People marching together,megaphones used for speeches,police presence,angry,,
protocol,Formal attire,handshake,table setting,Invitation card,Ballroom,,
psychic,Crystal Ball,Tarot cards,Mind reading,Fortune teller,Magic wand,,
psychogenesis,Brain,Psychology experiment setup,Emotion symbols,Psychoanalysis couch,Psychologist drawing face,,
psychology,Brain,thought bubble,therapist's office,Freud,Behaviorism,,
punishment,Prison bars,whip,noose,handcuffs,jail cell,,
purgatory,Fire,Demons,Angels,Weighing Scales,Gates,,
purity,white rose,clean water droplet,snowflake,angelic figure,innocent child’s face,,
pyromania,Fire,matches,gasoline,fire extinguisher,smoke alarm,,
queer,Rainbow flag,Pride parade,Gender fluidity symbol,Transgender symbol,Same-sex couple,,
question,Interrogation mark,Open book,Thinker statue,Brainstorming session,Confused face,,
quiet,peaceful,tranquil,serene,meditative,stillness,,
radioactivity,Nuclear power plant,Geiger counter,Atomic symbol,Radiation symbol,Plutonium atom model,,
rage,Angry Face emoji,Red color,Broken Glass,Exclamation marks,Fire,,
rally,Audience,podium,speaker,flags,banners,,
ramadan,Fasting,Prayer,Charity,Iftar meal,Mosque,,
rank,Numbered list,medal ribbons,trophy cup,bar chart graph,ranking arrows,,
rate,Price tag,Money bill,Percentage symbol,Scale,Bar chart,,
raw,steak,vegetables,fruit,sushi,meat,,
reaction,Chemistry lab equipment,Chemical equation,Explosion,Test tube,Smoke,,
readership,Library,books,Bookshelves,book clubs,magazines,,
ready,Clock,Calendar,Checklist,Stopwatch,Pen and paper,,
relative,Family Tree Diagram,Mother Daughter relationship picture,Grandparents and grandchildren photo,Family reunion group shot,,,
relief,Medication bottle,Thermometer,Hot compress,Crying person,Doctor’s office,,
religion,Cross,Church building,prayer beads,Bible pages,Religious symbols (yin-yang,,
religious,Cross,Star of David,Prayer Beads,Mosque,Church,,
remark,Comment symbol,pencil writing words,speech bubble,microphone,video camera,,
remorse,crying child,broken heart,regretful face,apology letter,empty chair,,
renaissance,David statue,Mona Lisa painting,Italian architecture,Renaissance art gallery,Florence cityscape,,
repentance,Cross,Tears,Prayer hands,Bible verses,Confession booth,,
risk,Dice rolling on table,Roulette wheel spinning,Stock market chart,Insurance policy document,Fire alarm box,,
roman,Colosseum,gladiators,Emperor statue,chariot race,amphitheater ruins,,
romance,Roses,Candlelit Dinner,Moonlight Walk,Heart Shape,Music notes,,
romantic,candles,roses,chocolate box,wine glasses,couple holding hands,,
saint,Halo,cross,church,angels,bible,,
schedule,Calendar,Clock,List of tasks,Meeting room,Deadlines,,
science,Microscope,laboratory,beaker,test tube rack,formulae,,
search,magnifying glass,detective,police officer,clues,mystery,,
seasonal,spring,summer,autumn,winter,nature,,
sin,Devil,Angel,Crossroads,Adam & Eve,Seven Deadly Sins,,
socialist,Hammer and Sickle,Lenin picture,Red Flag,Communist manifesto book cover,Gulag map,,
solidarity,Hands holding each other,People marching together,Protest signs,Rainbow flag,Chain link fence,,
solitude,forest,bench,sunset,desert,river,,
solstice,Sun,Moon,Stars,Winter landscape,Fireworks display,,
soul,Heart,Wings,Angel,Halo,Light beam,,
sounding,megaphone,speaker,microphone,loudspeaker,musical instrument,,
sovereign,Royal Crown,Throne,Castle,Scepter,Coat of Arms,,
sovereignty,Crown,flag,Parliament Building,Map with Borders marked out,Statue of Liberty,,
soviet,Hammer and sickle,Red star,Lenin statue,Communist flag,CCCP,,
spirit,Ghost,Angel wings,Halo,Soul,Heartbeat monitor,,
spiritual,Meditation,Buddha statue,Yoga mat,Prayer beads,Chakra diagram,,
strategy,Chess Board,Map,War Room,Military Formation,Business Plan,,
strength,weightlifting barbell,fist bumping,push ups,muscles,dumbbells,,
strife,Broken heart,Tears,Sad face,Conflict zone,War ruins,sweat drops,
struggle,Fight,Suffering face expression,Sadness,tears,Broken Heart symbol,,
subtropics,Palm trees,tropical birds,Coral reefs,Tropical plants,Iguanas,,
succession,royal crown,family tree diagram,inheritance document,property deeds,will and testament,,
superior,Crown,Trophy,Gold medal,Podium,First place ribbon,,
superiority,Trophy,Winner's podium,Olympic Rings,First place ribbon,Gold medal,,
supernatural,Ghosts,vampires,zombies,werewolves,witches,,
supporting,Helping hand,Umbrella,Pillar,Strong tree,Mother carrying baby,,
suppression,Prison bars,handcuffed hands,silenced mouth,burning book,broken camera lens,,
supremacy,Ruler,Crown,Throne,scepter,shield with coat of arms,,
surprise,Confetti,Balloon popping,cake candles,fireworks display,sudden gift presentation,,
surrender,White flag,raised hands,kneeling down,crying,signing document,,
suspense,Dark room,Suspenseful music,Shadows,Clock ticking,Mystery,,
suspicion,Spyglass,magnifying glass,Sherlock Holmes hat,Detective badge,Suspicious face expression,,
symmetry,mirror reflection,Yin Yang symbol,Double helix,Butterfly wings,Mandala,,
sympathy,Hug,flowers bouquet,condolence card,support group meeting,warm smile,,
syndicate,Mafia,Corrupt politician,Money laundering operation,Illegal gambling ring,Bribes,,
talent,Music notes,paintbrushes,pencils,chessboard,books,,
tall,skyscraper,giraffe,basketball player,mountain,flagpole,,
teacher,Blackboard,Pencil,Bookshelf,Teacher desk,Student notes,,
temporal,Clock,Calendar,Time Machine,Watch,Hourglass,,
tenderness,Cuddling,holding hands,soft touch,whispering sweet nothings,roses,,
territorial,Flag,Map,Border wall,Passport stamp,Military uniform,,
testament,Bible,Church,Cross,Jesus Christ figure statue,Angel statues,,
testimony,Judge gavel,Courtroom scene,Witness stand,Jury box,Document with signature,,
thankfulness,Turkey Dinner,Gratitude Journal,Gift Card,Thoughtful Note,Appreciation Award,,
thanksgiving,turkey dinner,cornucopia,pilgrim hat,pumpkin pie,fall leaves,,
theme,Musical notes,music sheet,Orchestra,Instruments,Singer,,
theology,Cross,Bible,Church,Crucifixion scene painting,stained glass window,winter landscape,
theory,Equation on blackboard,Scientific article,Test tube,Experiment,Hypothesis,,
therapy,Couch,therapist chair,notes,patient,medical tools,,
think,Brain,Cogwheels,Question mark,Light bulb,Idea cloud,,
thinking,Thought bubble,lightbulb,Brain,Mind map,Pondering face emoji,,
thirst,Glass of water,river,desert,cactus,camel,,
thought,mind symbol,brain,lightbulb,clouds,question mark,,
threat,Warning Sign,Fire Alarm,Red Flag,Hazardous Material Label,Crossed Swords,birthday cake,
thrill,roller coaster,cliff jumping,horror movie scene,race track,skydiving plane,,
times,hourglass,clock hands,stopwatch,countdown timer,digital display of time,,
timing,clock face,stopwatch,timer,hourglass,calendar,Nativity Scene,
tolerance,Rainbow flag,hand shaking,different races together,wheelchair access sign,multilingual book,,
tough,Steel,Rock,Leather Jacket,Strongman,Brick Wall,,
tour,Map,Guidebook,Tour bus,Historic sites,Camera,,
trade,Market,currency symbols,price chart,import export symbol,global map,,
trading,Stock Market Chart,Wall Street Signage,Financial Newspaper,Trading Desk,Stock Ticker Tape Machine,,
tradition,Flag,Heritage site,Historical event,Traditional dress,Ritual ceremony,,
training,Workout clothes,Dumbbells,Exercise mat,Gym equipment,Timer clock,,
translation,Interpreter,foreign language dictionary,Rosetta Stone,Sign Language,Translated text,,
treatment,Medicine bottle,Doctor's stethoscope,Hospital room,Prescription form,Syringe,,
treaty,handshake between two leaders,pen signing document,globe,flags of countries involved,peace dove,,
trial,Judge,court room,Jury box,Witness stand,Evidence table,,
tribunal,Gavel,Lawyer,Courtroom,Legal documents,Jury box,,
tribune,Audience seating,Podium,Microphone,Speaker,Stage,,
tropic,palm trees,hammock,ocean waves,fruity drinks,sunset over water,,
trouble,Fire extinguisher,First Aid Kit,Smoke detector,Broken glass,Warning sign,,
trustee,Board room table,suit and tie,business documents,briefcase,handshake,Stairway to heaven,
trusteeship,Legal document,lawyer,court building,gavel,law book,resort,
truth,Justice Statue,Mirror,Book,Scale,Eye,,
tyranny,King,Throne,Sword,Crown,Chains,,
uncertainty,Clouds,dice,labyrinth,maze,? symbol,,
understanding,Open book,Brainstorming session,Lightbulb moment,Puzzle solved,Person reading,,
underworld,Hellfire,demons,souls,skeleton,chains,,
unemployed,Unemployment benefits form,job search website,resume,phone interview,job application,,
unemployment,Job application form,Resume,Interview room,Unemployment office,Help Wanted Sign,,
unhappiness,crying child,broken heart,frown face emoji,rainstorm,prison bars,,
union,Marriage certificate,Wedding rings,Honeymoon destination,Bride & groom figurines,wedding cake,,
unity,Human handshake,Rainbow flag,Peace dove,Olympic rings,World map,,
university,Books,classroom,teacher,Campus,graduation cap,,
unknown,Question mark,Black box,Mystery,Foggy forest,Unknown symbol,,
vacation,Beach,mountains,airplane,suitcase,sun,,
value,Money,Ethics,Morals,Culture,Worthiness,hourglass,
vanity,Mirror,brush,lipstick,perfume bottle,jewelry box,,
variety,rainbow,spices,fruits,flowers,clothes,,
velocity,Speedometer dial,racecar,arrow pointing rightwards,runner running fast,jet plane taking off,,
veneration,Candle,Altar,Cross,Prayer beads,Bible,,
virtue,Halo,angel wings,saint,moral compass,good deeds,,
vitality,Fruit basket,running track,healthy food plate,yoga mat,green leafy vegetables,,
void,Black Hole,Emptiness,Space,Vacuum cleaner,Negative space,,
waiting,Clock ticking,Hourglass,Queue line,Traffic lights,Telephone ringing,,
war,Soldiers,tanks,guns,explosions,flags,,
wartime,Military Tank,Soldiers,Explosions,Flags,Ruined Buildings,,
wealth,Money,Luxury Car,Mansion House,Diamonds Jewelry,Expensive Clothing,,
wed,Wedding cake,Engagement ring,Bride & Groom,Honeymoon destination,Marriage certificate,,
west,Cowboys,Saloon,Cactus,Sunset,Wild West,,
western,Cowboy Hat,Horses,Gunslinger,Saloon,Cactus,,
westernization,Jeans,fast food logo,Coca Cola bottle,hamburger,big mac meal,,
whereabouts,Globe,map pin,compass,satellite dish,GPS coordinates,,
who,Doctor Who TARDIS,Dalek,K-9 robot dog,Cybermen,Time Lord,,
widowhood,Black dress,Funeral flower arrangement,Casket,Mourning veil,Cemetery,,
wild,Lion,Jungle,Untamed animals,Adventure,Wilderness,,
wildness,Animals,forest,camping equipment,tents,hiking boots,,
willing,smiley face emoji,thumbs up gesture,happy dance,high five,raised fist,,
winner,Trophy,medal,victory gesture,champion belt,podium,,
wisdom,old man,owl,book,glasses,apple,,
wise,Owl,Yoda,Socrates statue,Old person smiling,Einstein formula,,
wish,birthday cake,Shooting Star,Rainbow,Wishing Well,genie lamp,,
wishing,Birthday cake,candles,blowing out candles,balloons,fireworks,,
wit,Jester Hat,Wise Owl,Brainstorming Cloud,Lightbulb,Idea Bubble,,
withdrawal,Bank teller,ATM machine,Cash register,Check book,Debit Card,,
woe,Sorrowful face emoji,Raincloud symbol,Broken heart drawing,Tear drop icon,Sad song,,
work,Briefcase,office desk,cubicle,computer,meeting room,,
workweek,Office desk,Briefcase,Business suit,Tie,Laptop,,
worse,sad face emoji,negative words like failure,rejection,etc.,downward arrow sign,,
worship,Temple,Church,Mosque,Synagogue,Prayers,,
worthy,Money,gold,precious stones,luxury items,expensive watches,,
wrath,Anger,flames,fire,lava,rage,,
year,Calendar,clock,season changes,growth rings of trees,historical events timeline,,
yearning,hearts,flowers,letters,long distance phone calls,tears,,
yesterday,clock showing time passing,old photograph,diary page,retro clothing style,historical event,,
yesteryear,Old TV set,Typewriter,Vinyl record player,Film camera,Retro clothes,,
youth,Skateboard,basketball court,high school,party,college dorm room,,
zoology,Lion,Giraffe,Gorilla,Zoo keeper,cages,,
